"","IP","Hostname","NetBIOS","OS","IP.Status","QID","Title","Vulnerability Type","Severity","Port","Protocol","FQDN","SSL","CVE.ID","Vendor.Reference","Bugtraq.ID","CVSS.Base","CVSS.Temporal","CVSS3.Base","CVSS3.Temporal","Threat","Impact","Solution","Exploitability","Associated.Malware","Results","PCI.Vuln","Instance","OS.CPE","Category","Severidad"
"124","172.19.244.46","bmesrvc538.domibco.com.pe","","EulerOS / Ubuntu / Fedora / Tiny Core Linux / Linux 3.x / IBM","host scanned, found vuln",38170,"SSL Certificate - Subject Common Name Does Not Match Server FQDN","Confirmed",2,8443,"tcp",NA,"over ssl","","","","2.6 (AV:N/AC:H/Au:N/C:P/I:N/A:N)","2.1 (E:U/RL:W/RC:C)","","","An SSL Certificate associates an entity (person, organization, host, etc.) with a Public Key. In an SSL connection, the client authenticates the remote server using the server's Certificate and extracts the Public Key in the Certificate to establish the secure connection.
 
A certificate whose Subject commonName or subjectAltName does not match the server FQDN offers only encryption without authentication.
 
Please note that a false positive reporting of this vulnerability is possible in the following case:
 If the common name of the certificate uses a wildcard such as *.somedomainname.com and the reverse DNS resolution of the target IP is not configured. In this case there is no way for Qualys to associate the wildcard common name to the IP. Adding a reverse DNS lookup entry to the target IP will solve this problem.","A man-in-the-middle attacker can exploit this vulnerability in tandem with a DNS cache poisoning attack to lure the client to another server, and then steal all the encryption communication.","Please install a server certificate whose Subject commonName or subjectAltName matches the server FQDN.","","","Certificate 0 emailAddress=Soporteusu@mibanco.com.pe,CN=mesadeayudadesa.domibco.com.pe,OU=Sistemas,O=Mibanco,L=Lima,ST=Lima,C=PE (mesadeayudadesa.domibco.com.pe) and IP (172.19.244.46) don't match","no",NA,NA,"General remote services","Baja"
"125","172.19.244.46","bmesrvc538.domibco.com.pe","","EulerOS / Ubuntu / Fedora / Tiny Core Linux / Linux 3.x / IBM","host scanned, found vuln",38173,"SSL Certificate - Signature Verification Failed Vulnerability","Confirmed",2,8443,"tcp",NA,"over ssl","","","","6.4 (AV:N/AC:L/Au:N/C:P/I:P/A:N)","4.7 (E:U/RL:W/RC:UC)","6.5 (AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N)","5.6 (E:U/RL:W/RC:R)","An SSL Certificate associates an entity (person, organization, host, etc.) with a Public Key. In an SSL connection, the client authenticates the remote server using the server's Certificate and extracts the Public Key in the Certificate to establish the secure connection. The authentication is done by verifying that the public key in the certificate is signed by a trusted third-party Certificate Authority.
 
If a client is unable to verify the certificate, it can abort communication or prompt the user to continue the communication without authentication.","By exploiting this vulnerability, man-in-the-middle attacks in tandem with DNS cache poisoning can occur.
 
Exception: 
If the server communicates only with a restricted set of clients who have the server certificate or the trusted CA certificate, then the server or CA certificate may not be available publicly, and the scan will be unable to verify the signature.","Please install a server certificate signed by a trusted third-party Certificate Authority.","","","Certificate 0 emailAddress=Soporteusu@mibanco.com.pe,CN=mesadeayudadesa.domibco.com.pe,OU=Sistemas,O=Mibanco,L=Lima,ST=Lima,C=PE unable to get local issuer certificate","yes",NA,NA,"General remote services","Baja"
"126","172.19.244.46","bmesrvc538.domibco.com.pe","","EulerOS / Ubuntu / Fedora / Tiny Core Linux / Linux 3.x / IBM","host scanned, found vuln",11827,"HTTP Security Header Not Detected","Confirmed",2,8443,"tcp",NA,"","","","","4.3 (AV:N/AC:M/Au:N/C:N/I:P/A:N)","3.5 (E:U/RL:U/RC:UR)","5.3 (AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N)","4.7 (E:U/RL:U/RC:R)","This QID reports the absence of the following HTTP headers (https://www.owasp.org/index.php/OWASP_Secure_Headers_Projecttab=Headers) according to CWE-693: Protection Mechanism Failure (https://cwe.mitre.org/data/definitions/693.html): 
X-Frame-Options: This HTTP response header improves the protection of web applications against clickjacking attacks. Clickjacking, also known as a ""UI redress attack"", allows an attacker to use multiple transparent or opaque layers to trick a targeted user into clicking on a button or link on another page when they were intending to click on the top level page.  
X-XSS-Protection: This HTTP header enables the browser built-in Cross-Site Scripting (XSS) filter to prevent cross-site scripting attacks. X-XSS-Protection: 0; disables this functionality. 
X-Content-Type-Options: This HTTP header prevents attacks based on MIME-type mismatch. The only possible value is nosniff. If your server returns X-Content-Type-Options: nosniff in the response, the browser will refuse to load the styles and scripts in case they have an incorrect MIME-type.  
Strict-Transport-Security: The HTTP Strict-Transport-Security response header (HSTS) is a security feature that lets a website tell browsers that it should only be communicated with using HTTPS, instead of using HTTP. 
QID Detection Logic: 
This unauthenticated QID looks for the presence of the following HTTP responses: 
Valid directives for X-Frame-Options are: 
X-Frame-Options: DENY - The page cannot be displayed in a frame, regardless of the site attempting to do so. 
X-Frame-Options: SAMEORIGIN - The page can only be displayed in a frame on the same origin as the page itself. 
X-Frame-Options: ALLOW-FROM RESOURCE-URL - The page can only be displayed in a frame on the specified origin. 
Valid directives for X-XSS-Protections are: 
X-XSS-Protection: 1 - Enables XSS filtering (usually default in browsers). If a cross-site scripting attack is detected, the browser will sanitize the page (remove the unsafe parts). 
X-XSS-Protection: 1; mode=block - Enables XSS filtering. Rather than sanitizing the page, the browser will prevent rendering of the page if an attack is detected. 
X-XSS-Protection: 1; report=URI  - Enables XSS filtering. If a cross-site scripting attack is detected, the browser will sanitize the page and report the violation. This uses the functionality of the CSP report-uri directive to send a report. 
X-XSS-Protection: 0 disables this directive and hence is also treated as not detected. 
A valid directive for X-Content-Type-Options: nosniff 
A valid HSTS directive Strict-Transport-Security: max-age=<expire-time>; [; includeSubDomains][; preload] 
 NOTE:  All report-only directives (where applicable) are considered invalid.","Depending on the vulnerability being exploited, an unauthenticated remote attacker could conduct cross-site scripting, clickjacking or MIME-type sniffing attacks."," Note:  To better debug the results of this QID, it is requested that customers execute commands to simulate the following functionality: curl -lkL --verbose. 
CWE-693: Protection Mechanism Failure mentions the following - The product does not use or incorrectly uses a protection mechanism that provides sufficient defense against directed attacks against the product. A ""missing"" protection mechanism occurs when the application does not define any mechanism against a certain class of attack. An ""insufficient"" protection mechanism might provide some defenses - for example, against the most common attacks - but it does not protect against everything that is intended. Finally, an ""ignored"" mechanism occurs when a mechanism is available and in active use within the product, but the developer has not applied it in some code path. 
Customers are advised to set proper X-Frame-Options (https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/X-Frame-Options), X-XSS-Protection (https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/X-XSS-Protection), X-Content-Type-Options (https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/X-Content-Type-Options) and Strict-Transport-Security (https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Strict-Transport-Security) HTTP response headers. 
Depending on their server software, customers can set directives in their site configuration or Web.config files. Few examples are: 
X-Frame-Options: 
Apache: Header always append X-Frame-Options SAMEORIGIN 
nginx: add_header X-Frame-Options SAMEORIGIN; 
HAProxy: rspadd X-Frame-Options:\ SAMEORIGIN 
IIS: <HTTPPROTOCOL><CUSTOMHEADERS><ADD NAME=""X-Frame-Options"" VALUE=""SAMEORIGIN""></ADD></CUSTOMHEADERS></HTTPPROTOCOL> 
X-XSS-Protection: 
Apache: Header always set X-XSS-Protection ""1; mode=block""  
PHP: header(""X-XSS-Protection: 1; mode=block""); 
X-Content-Type-Options: 
Apache: Header always set X-Content-Type-Options: nosniff 
HTTP Strict-Transport-Security: 
Apache: Header always set Strict-Transport-Security ""max-age=31536000; includeSubDomains"" 
Nginx: add_header Strict-Transport-Security max-age=31536000; 
 Note: Network devices that include a HTTP/HTTPS console for administrative/management purposes often do not include all/some of the security headers. This is a known issue and it is recommend to contact the vendor for a solution.","","","X-Frame-Options or Content-Security-Policy: frame-ancestors HTTP Headers missing on port 8443.

GET / HTTP/1.0
Host: bmesrvc538.domibco.com.pe:8443



HTTP/1.1 200 
Cache-Control: private
Expires: Wed, 31 Dec 1969 19:00:00 PET
X-AREQUESTID: 60x10945x1
X-ASEN: SEN-7606876
Set-Cookie: atlassian.xsrf.token=BSZY-Q94R-AD98-WBUO|09af801fe31dc86265a35433c09e894b961137d2|lout;path=/;Secure
X-AUSERNAME: anonymous
X-Content-Type-Options: nosniff
Set-Cookie: JSESSIONID=9B7C2CA079F2452C4232AD8A832833E9;path=/;Secure;HttpOnly
X-Accel-Buffering: no
Content-Type: text/html;charset=UTF-8
Date: Sat, 30 Jan 2021 06:00:36 GMT
Connection: close

X-XSS-Protection HTTP Header missing on port 8443.

HTTP/1.1 200 
Cache-Control: private
Expires: Wed, 31 Dec 1969 19:00:00 PET
X-AREQUESTID: 60x10948x1
X-ASEN: SEN-7606876
Set-Cookie: atlassian.xsrf.token=BSZY-Q94R-AD98-WBUO|978c816478b8c002310c7d259ff620e7fcba7f3f|lout;path=/;Secure
X-AUSERNAME: anonymous
X-Content-Type-Options: nosniff
Set-Cookie: JSESSIONID=63101928DFE2EA25D6F2E4069C390C87;path=/;Secure;HttpOnly
X-Accel-Buffering: no
Content-Type: text/html;charset=UTF-8
Date: Sat, 30 Jan 2021 06:00:36 GMT
Connection: close

Strict-Transport-Security HTTP Header missing on port 8443.

HTTP/1.1 200 
Cache-Control: private
Expires: Wed, 31 Dec 1969 19:00:00 PET
X-AREQUESTID: 60x10950x1
X-ASEN: SEN-7606876
Set-Cookie: atlassian.xsrf.token=BSZY-Q94R-AD98-WBUO|0606934511a202f93bce74565e844a7f4ba41972|lout;path=/;Secure
X-AUSERNAME: anonymous
X-Content-Type-Options: nosniff
Set-Cookie: JSESSIONID=C3794CE1CE66A14B1F9ED43D0FED4B12;path=/;Secure;HttpOnly
X-Accel-Buffering: no
Content-Type: text/html;charset=UTF-8
Date: Sat, 30 Jan 2021 06:00:37 GMT
Connection: close","yes",NA,NA,"CGI","Baja"
"127","172.19.244.46","bmesrvc538.domibco.com.pe","","EulerOS / Ubuntu / Fedora / Tiny Core Linux / Linux 3.x / IBM","host scanned, found vuln",13898,"Atlassian Jira Server and Data Center Cross Site Request Forgery Vulnerability(JRASERVER-70849)","Confirmed",2,8443,"tcp",NA,"","CVE-2019-20415","JRASERVER-70849","","4.3 (AV:N/AC:M/Au:N/C:N/I:P/A:N)","3.2 (E:U/RL:OF/RC:C)","4.3 (AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:N)","3.8 (E:U/RL:O/RC:C)","Atlassian Jira is a proprietary issue tracking product, developed by Atlassian. It provides bug tracking, issue tracking, and project management functions. 

Affected versions: 
Atlassian Jira Server and Data Center version prior to 7.13.3 
Atlassian Jira Server and Data Center version from 8.0.0 prior to 8.1.0 

QID Detection Logic:(Unauthenticated) 
It checks for vulnerable version of Atlassian Jira.","Successful exploitation allows remote attackers to modify logging and profiling settings via a cross-site request forgery (CSRF) vulnerability.","Customers are advised to refer to
 JRASERVER-70849 (https://jira.atlassian.com/browse/JRASERVER-70849)
 for updates pertaining to this vulnerability.
 Patch: 
Following are links for downloading patches to fix the vulnerabilities:
  JRASERVER-70849 (https://jira.atlassian.com/browse/JRASERVER-70849)","","","Vulnerable version of Atlassian JIRA detected on 8443 port.
<meta name=""application-name"" content=""JIRA"" data-name=""jira"" data-version=""7.3.0""><meta name=""ajs-dev-mode"" content=""false"">
<meta name=""ajs-context-path"" content="""">
<meta name=""ajs-version-number"" content=""7.3.0"">
<meta name=""ajs-build-number""","yes",NA,NA,"CGI","Baja"
"128","172.19.244.46","bmesrvc538.domibco.com.pe","","EulerOS / Ubuntu / Fedora / Tiny Core Linux / Linux 3.x / IBM","host scanned, found vuln",13915,"Atlassian Jira Server and Data Center Insecure Direct Object References Vulnerability(JRASERVER-71275)","Confirmed",2,8443,"tcp",NA,"","CVE-2020-14174","JRASERVER-71275","","4 (AV:N/AC:L/Au:S/C:P/I:N/A:N)","3 (E:U/RL:OF/RC:C)","4.3 (AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N)","3.8 (E:U/RL:O/RC:C)","Jira is a proprietary issue tracking product, developed by Atlassian. It provides bug tracking, issue tracking, and project management functions. 

Affected version: 
Atlassian Jira Server and Data Center version before version 7.13.16 
Atlassian Jira Server and Data Center version 8.0.0 before version 8.5.7 
Atlassian Jira Server and Data Center from 8.6.0 before version 8.9.2 
Atlassian Jira Server and Data Center from 8.10.0 before version 8.10.1 

QID Detection Logic:(Unauthenticated) 
It checks for vulnerable version of Atlassian Jira.","Successful exploitation allow remote attackers to view titles of a private project via an Insecure Direct Object References (IDOR) vulnerability in the Administration Permission Helper.","Customers are advised to refer to JRASERVER-71275 (https://jira.atlassian.com/browse/JRASERVER-71275) 
for updates pertaining to this vulnerability.



 Patch: 
Following are links for downloading patches to fix the vulnerabilities:
  JRASERVER-71275 (https://jira.atlassian.com/browse/JRASERVER-71275)","","","Vulnerable version of Atlassian JIRA detected on 8443 port.
<meta name=""application-name"" content=""JIRA"" data-name=""jira"" data-version=""7.3.0""><meta name=""ajs-dev-mode"" content=""false"">
<meta name=""ajs-context-path"" content="""">
<meta name=""ajs-version-number"" content=""7.3.0"">
<meta name=""ajs-build-number""","yes",NA,NA,"CGI","Baja"
"129","172.19.244.46","bmesrvc538.domibco.com.pe","","EulerOS / Ubuntu / Fedora / Tiny Core Linux / Linux 3.x / IBM","host scanned, found vuln",86729,"AutoComplete Attribute Not Disabled for Password in Form Based Authentication","Confirmed",2,8443,"tcp",NA,"","","","","2.6 (AV:N/AC:H/Au:N/C:P/I:N/A:N)","2 (E:U/RL:U/RC:UC)","","","The Web server allows form based authentication without disabling the AutoComplete feature for the password field. 
Autocomplete should be turned off for any input that takes sensitive information such as credit card number, CVV2/CVC code, U.S. social security number, etc.","If the browser is used in a shared computing environment where more than one person may use the browser, then ""autocomplete"" values may be retrieved or submitted by an unauthorized user.","Contact the vendor to have the AutoComplete attribute disabled for the password field in all forms. The AutoComplete attribute should also be disabled for the user ID field.  
Developers can add the following attribute to the form or input element: autocomplete=""off""  
This attribute prevents the browser from prompting the user to save the populated form values for later reuse.   
Most browsers no longer honor autocomplete=""off"" for password input fields. These browsers include  Chrome, Firefox, Microsoft Edge, IE, Opera 
However, there is still an ability to turn off autocomplete through the browser and that is recommended for a shared computing environment. 
Since the ability to turn autocomplete off for password inputs fields is controlled by the user it is highly recommended for application to enforce strong password rules.","","","GET /login.jsp HTTP/1.0
Host: bmesrvc538.domibco.com.pe:8443

<form action=""/login.jsp""
class=""aui""

id=""login-form""
method=""post"">
<div class=""form-body"">



























<fieldset>








<div class=""field-group"">

<label accesskey=""u"" for=""login-form-username""> U suario</label>
<input class=""text medium-field"" id=""login-form-username"" name=""os_username"" type=""text"" value="""" />


</div>






<div class=""field-group"">

<label accesskey=""c"" for=""login-form-password"" id=""passwordlabel""> C ontrasea</label>
<input id=""login-form-password"" class=""text medium-field"" name=""os_password"" type=""password"" />


</div>








<fieldset class=""group "">








<div class=""checkbox"">


<input class=""checkbox"" id=""login-form-remember-me"" name=""os_cookie"" type=""checkbox"" value=""true"" />
<label for=""login-form-remember-me"" accesskey=""g""> G uardar mis datos en este ordenador</label>


</div>

</fieldset> <!-- // .group -->





<div id=""sign-up-hint"" class=""field-group"">

No es miembro? Para solicitar una cuenta, pngase en contacto con sus Administradores de JIRA.

</div>


</fieldset>



<div class=""hidden""



>
<input




name=""os_destination""

type=""hidden""







/>
</div>





<div class=""hidden""



>
<input




name=""user_role""

type=""hidden""

GET //login.jsp HTTP/1.0
Host: bmesrvc538.domibco.com.pe:8443

GET /login.jsp?jsessionid=h2 HTTP/1.0
Host: bmesrvc538.domibco.com.pe:8443","no",NA,NA,"Web server","Baja"
"130","172.19.244.41","bmesrvc496.domibco.com.pe","","Ubuntu / Tiny Core Linux / Linux 2.6.x / IBM ASM / HP StoreOnce","host scanned, found vuln",82024,"UDP Constant IP Identification Field Fingerprinting Vulnerability","Confirmed",2,NA,"",NA,"","CVE-2002-0510","","4314","5 (AV:N/AC:L/Au:N/C:P/I:N/A:N)","4.8 (E:H/RL:U/RC:UR)","","","The host transmits UDP packets with a constant IP Identification field. This behavior may be exploited to discover the operating system and approximate kernel version of the vulnerable system.
 
Normally, the IP Identification field is intended to be a reasonably unique value, and is used to reconstruct fragmented packets. It has been reported that in some versions of the Linux kernel IP stack implementation as well as other operating systems, UDP packets are transmitted with a constant IP Identification field of 0.","By exploiting this vulnerability, a malicious user can discover the operating system and approximate kernel version of the host. This information can then be used in further attacks against the host.","We are not currently aware of any fixes for this issue.","","","IP_ID=0","no",NA,NA,"TCP/IP","Baja"
"131","172.19.244.41","bmesrvc496.domibco.com.pe","","Ubuntu / Tiny Core Linux / Linux 2.6.x / IBM ASM / HP StoreOnce","host scanned, found vuln",38738,"SSH Server Public Key Too Small","Confirmed",2,22,"tcp",NA,"","","","","5 (AV:N/AC:L/Au:N/C:N/I:P/A:N)","3.6 (E:U/RL:W/RC:UC)","5.3 (AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N)","4.4 (E:U/RL:W/RC:U)","The SSH protocol (Secure Shell) is a method for secure remote login from one computer to another. 
The SSH Server is using a small Public Key. 
Best practices require that RSA digital signatures be 2048 or more bits long to provide adequate security. Key lengths of 1024 are acceptable through 2013, but since 2011 they are considered deprecated. 
 For more information, please refer to NIST Special Publication 800-131A (http://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-131Ar1.pdf (http://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-131Ar1.pdf)). 
Only server keys that are not part of a certificate are reported in this QID. OpenSSH certificates using short keys are reported in QID 38733. X.509 certificates using short keys are reported in QID 38171.","A man-in-the-middle attacker can exploit this vulnerability to record the communication to decrypt the session key and even the messages.","DSA keys and RSA keys shorter than 2048 bits are considered vulnerable. It is recommended to install a RSA public key length of at least 2048 bits or greater, or to switch to ECDSA or EdDSA.","","","Algorithm	Length
ssh-dss	1024 bits","yes",NA,NA,"General remote services","Baja"
"132","172.19.244.41","bmesrvc496.domibco.com.pe","","Ubuntu / Tiny Core Linux / Linux 2.6.x / IBM ASM / HP StoreOnce","host scanned, found vuln",38739,"Deprecated SSH Cryptographic Settings","Confirmed",2,22,"tcp",NA,"","","","","6.4 (AV:N/AC:L/Au:N/C:P/I:P/A:N)","4.7 (E:U/RL:W/RC:UC)","9.1 (AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N)","7.4 (E:U/RL:W/RC:U)","The SSH protocol (Secure Shell) is a method for secure remote login from one computer to another.  
The target is using deprecated SSH cryptographic settings to communicate.","A man-in-the-middle attacker may be able to exploit this vulnerability to record the communication to decrypt the session key and even the messages.","Avoid using deprecated cryptographic settings.  
Use best practices when configuring SSH. 
Refer to Security of Interactive and Automated Access Management Using Secure Shell (SSH) (https://csrc.nist.gov/publications/detail/nistir/7966/final) . 
Settings currently considered deprecated:
<DL>
 <DT>Ciphers using CFB of OFB</DT>
 <DD>Very uncommon, and deprecated because of weaknesses compared to newer cipher chaining modes such as CTR or GCM</DD>
 <DT>RC4 cipher (arcfour, arcfour128, arcfour256)</DT>
 <DD>The RC4 cipher has a cryptographic bias and is no longer considered secure</DD>
 <DT>Ciphers with a 64-bit block size (DES, 3DES, Blowfish, IDEA, CAST)</DT>
 <DD>Ciphers with a 64-bit block size may be vulnerable to birthday attacks (Sweet32)</DD>
 <DT>Key exchange algorithms using DH group 1 (diffie-hellman-group1-sha1, gss-group1-sha1-*)</DT>
 <DD>DH group 1 uses a 1024-bit key which is considered too short and vulnerable to Logjam-style attacks</DD>
 <DT>Key exchange algorithm ""rsa1024sha1""</DT>
 <DD>Very uncommon, and deprecated because of the short RSA key size</DD>
 <DT>MAC algorithm ""umac-32""</DT>
 <DD>Very uncommon, and deprecated because of the very short MAC length</DD>
 <DT>Cipher ""none""</DT>
 <DD>This is available only in SSHv1</DD>
</DL>","","","Type	Name
key exchange	diffie-hellman-group1-sha1
cipher	arcfour256
cipher	arcfour128
cipher	3des-cbc
cipher	blowfish-cbc
cipher	cast128-cbc
cipher	arcfour","yes",NA,NA,"General remote services","Baja"
"133","172.19.244.41","bmesrvc496.domibco.com.pe","","Ubuntu / Tiny Core Linux / Linux 2.6.x / IBM ASM / HP StoreOnce","host scanned, found vuln",11827,"HTTP Security Header Not Detected","Confirmed",2,8080,"tcp",NA,"","","","","4.3 (AV:N/AC:M/Au:N/C:N/I:P/A:N)","3.5 (E:U/RL:U/RC:UR)","5.3 (AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N)","4.7 (E:U/RL:U/RC:R)","This QID reports the absence of the following HTTP headers (https://www.owasp.org/index.php/OWASP_Secure_Headers_Projecttab=Headers) according to CWE-693: Protection Mechanism Failure (https://cwe.mitre.org/data/definitions/693.html): 
X-Frame-Options: This HTTP response header improves the protection of web applications against clickjacking attacks. Clickjacking, also known as a ""UI redress attack"", allows an attacker to use multiple transparent or opaque layers to trick a targeted user into clicking on a button or link on another page when they were intending to click on the top level page.  
X-XSS-Protection: This HTTP header enables the browser built-in Cross-Site Scripting (XSS) filter to prevent cross-site scripting attacks. X-XSS-Protection: 0; disables this functionality. 
X-Content-Type-Options: This HTTP header prevents attacks based on MIME-type mismatch. The only possible value is nosniff. If your server returns X-Content-Type-Options: nosniff in the response, the browser will refuse to load the styles and scripts in case they have an incorrect MIME-type.  
Strict-Transport-Security: The HTTP Strict-Transport-Security response header (HSTS) is a security feature that lets a website tell browsers that it should only be communicated with using HTTPS, instead of using HTTP. 
QID Detection Logic: 
This unauthenticated QID looks for the presence of the following HTTP responses: 
Valid directives for X-Frame-Options are: 
X-Frame-Options: DENY - The page cannot be displayed in a frame, regardless of the site attempting to do so. 
X-Frame-Options: SAMEORIGIN - The page can only be displayed in a frame on the same origin as the page itself. 
X-Frame-Options: ALLOW-FROM RESOURCE-URL - The page can only be displayed in a frame on the specified origin. 
Valid directives for X-XSS-Protections are: 
X-XSS-Protection: 1 - Enables XSS filtering (usually default in browsers). If a cross-site scripting attack is detected, the browser will sanitize the page (remove the unsafe parts). 
X-XSS-Protection: 1; mode=block - Enables XSS filtering. Rather than sanitizing the page, the browser will prevent rendering of the page if an attack is detected. 
X-XSS-Protection: 1; report=URI  - Enables XSS filtering. If a cross-site scripting attack is detected, the browser will sanitize the page and report the violation. This uses the functionality of the CSP report-uri directive to send a report. 
X-XSS-Protection: 0 disables this directive and hence is also treated as not detected. 
A valid directive for X-Content-Type-Options: nosniff 
A valid HSTS directive Strict-Transport-Security: max-age=<expire-time>; [; includeSubDomains][; preload] 
 NOTE:  All report-only directives (where applicable) are considered invalid.","Depending on the vulnerability being exploited, an unauthenticated remote attacker could conduct cross-site scripting, clickjacking or MIME-type sniffing attacks."," Note:  To better debug the results of this QID, it is requested that customers execute commands to simulate the following functionality: curl -lkL --verbose. 
CWE-693: Protection Mechanism Failure mentions the following - The product does not use or incorrectly uses a protection mechanism that provides sufficient defense against directed attacks against the product. A ""missing"" protection mechanism occurs when the application does not define any mechanism against a certain class of attack. An ""insufficient"" protection mechanism might provide some defenses - for example, against the most common attacks - but it does not protect against everything that is intended. Finally, an ""ignored"" mechanism occurs when a mechanism is available and in active use within the product, but the developer has not applied it in some code path. 
Customers are advised to set proper X-Frame-Options (https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/X-Frame-Options), X-XSS-Protection (https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/X-XSS-Protection), X-Content-Type-Options (https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/X-Content-Type-Options) and Strict-Transport-Security (https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Strict-Transport-Security) HTTP response headers. 
Depending on their server software, customers can set directives in their site configuration or Web.config files. Few examples are: 
X-Frame-Options: 
Apache: Header always append X-Frame-Options SAMEORIGIN 
nginx: add_header X-Frame-Options SAMEORIGIN; 
HAProxy: rspadd X-Frame-Options:\ SAMEORIGIN 
IIS: <HTTPPROTOCOL><CUSTOMHEADERS><ADD NAME=""X-Frame-Options"" VALUE=""SAMEORIGIN""></ADD></CUSTOMHEADERS></HTTPPROTOCOL> 
X-XSS-Protection: 
Apache: Header always set X-XSS-Protection ""1; mode=block""  
PHP: header(""X-XSS-Protection: 1; mode=block""); 
X-Content-Type-Options: 
Apache: Header always set X-Content-Type-Options: nosniff 
HTTP Strict-Transport-Security: 
Apache: Header always set Strict-Transport-Security ""max-age=31536000; includeSubDomains"" 
Nginx: add_header Strict-Transport-Security max-age=31536000; 
 Note: Network devices that include a HTTP/HTTPS console for administrative/management purposes often do not include all/some of the security headers. This is a known issue and it is recommend to contact the vendor for a solution.","","","X-Frame-Options or Content-Security-Policy: frame-ancestors HTTP Headers missing on port 8080.

GET / HTTP/1.0
Host: bmesrvc496.domibco.com.pe:8080



HTTP/1.0 200 OK
Connection: keep-alive
Last-Modified: Mon, 18 Apr 2016 20:54:20 GMT
X-Powered-By: Undertow/1
Server: JBoss-EAP/7
Content-Length: 1517
Content-Type: text/html
Accept-Ranges: bytes
Date: Sat, 30 Jan 2021 03:46:08 GMT

X-XSS-Protection HTTP Header missing on port 8080.

X-Content-Type-Options HTTP Header missing on port 8080.","yes",NA,NA,"CGI","Baja"
